id,time,x,y
12,653.639,68.68749314,57.33231049
12,654.639,68.69473374,56.9078918
12,655.639,68.68749889,56.9078917
12,656.64,68.59757428,57.33230927
12,657.64,68.50042057,57.33230796
12,658.64,68.38259585,57.33230637
12,659.64,68.30611314,57.33230534
12,660.64,68.1950065,57.33230384
12,661.64,68.00793392,57.33230133
12,662.641,67.8342975,57.33229901
12,663.641,67.68856692,57.33229706
12,664.641,67.60536614,57.33229595
12,665.641,67.48753578,57.75671318
12,666.641,67.37642914,57.7567117
12,667.641,67.27979221,57.75671042
12,668.641,67.14077412,58.18112737
12,669.642,67.0089965,58.18112562
12,670.642,66.90512472,58.18112425
12,671.642,66.82864202,58.18112325
12,672.642,66.75939417,58.18112233
12,673.642,66.7175354,58.18112178
12,674.642,66.66895855,58.18112115
12,675.643,66.62761655,58.1811206
12,676.643,66.59299263,58.18112015
12,677.643,66.56508121,58.60553857
12,678.643,66.53045729,58.60553812
12,679.643,66.51650437,58.60553793
12,680.643,66.47516237,58.60553739
12,681.643,66.4539746,58.60553712
12,682.644,66.44725097,59.02995582
12,683.644,66.43329805,59.02995563
12,684.644,66.4053922,59.02995527
12,685.644,66.36405021,59.02995473
12,686.644,66.3221859,59.45437297
12,687.644,66.27360906,59.45437234
12,688.645,66.23898514,59.45437189
12,689.645,66.19764315,59.45437135
12,690.645,66.14183147,59.45437062
12,691.645,66.07981849,59.45436981
12,692.645,66.06586556,59.45436963
12,693.645,66.05863072,59.45436954
12,694.645,66.05191264,59.45436945
12,695.646,66.10048395,59.87878887
12,696.646,66.14906079,59.8787895
12,697.646,66.17644985,59.87878986
12,698.646,66.22502115,60.30320929
12,699.646,66.23897406,60.30320947
12,700.646,66.25292698,60.30320965
12,701.647,66.28754535,60.72762889
12,702.647,66.30873311,60.72762917
12,703.647,66.35679316,60.7276298
12,704.647,66.39192829,61.15204905
12,705.647,66.43327027,61.15204959
12,706.647,66.4611761,61.15204996
12,707.647,66.48184153,61.57646902
12,708.648,66.49579444,61.5764692
12,709.648,66.46788861,61.57646884
12,710.648,66.47512345,61.57646893
12,711.648,66.47512345,61.57646893
12,712.648,66.48183597,62.00088781
12,713.648,66.4751179,62.00088772
